nama_hotel,alamat_hotel,harga_kamar,jenis_kamar,total_kamar_tersedia,wilayah,latitude,longitude
ASTON Priority Simatupang & Conference Center,"Jl. Let. Jend. T.B. Simatupang Kav. 9, Kebagusan, Pasar Minggu, Jakarta Selatan, Indonesia",Rp970.917,3,4,Jakarta Selatan,-6.300601018326100,106.83508836137600
eL Hotel Royale Jakarta,"Jl. Raya Gading Kirana No.Kav.1, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Indonesia",Rp543.600,3,3,Jakarta Utara,-6.151457869943400,106.89606843862300
Wisma Rembulan,"Jl. Gurame Raya No.32, Pasar Minggu, Jakarta Selatan, DKI Jakarta, Indonesia",Rp188.500,3,3,Jakarta Selatan,-6.295053010348310,106.8363537
Social Hub by TwoSpaces,"Jl. Sosial No.52, RW.2, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",Rp174.038,6,6,Jakarta Barat,-6.162121219332040,106.77847853862300
Millennium Hotel Sirih Jakarta,"Jl. Haji Fachrudin No.3, Kampung Bali, Tanah Abang, Jakarta Pusat, Indonesia",Rp587.770,16,16,Jakarta Pusat,-6.1815124568906900,106.8167109
Hotel Indonesia Kempinski Jakarta,Jalan MH Thamrin No. 1,Rp3.123.194,8,8,Jakarta Pusat,-6.194780937991180,106.82222845396700
Samala Hotel Jakarta Cengkareng,"Jl. Daan Mogot No.Kav 2, RT.1/RW.2, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp395.848,2,2,Jakarta Barat,-6.153067344672010,106.72888173068800
Dafam Express Jaksa Jakarta,"Jl. Jaksa No. 27-29 Menteng, Jakarta Pusat, DKI Jakarta, Indonesia",Rp367.996,8,10,Jakarta Pusat,-6.184217297161390,106.82947916137600
Best Western Premier The Hive,"Jl. D.I. Panjaitan Kav 3-4 Cawang, Jakarta",Rp609.000,2,2,Jakarta Timur,-6.243901897831890,106.87560014603200
Hotel Lautze Indah,"Jl. Lautze No.24 RT.2/RW.5, Kartini, Sawah Besar, Jakarta Pusat, DKI Jakarta, Indonesia",Rp154.350,2,2,Jakarta Pusat,-6.156197373997910,106.8349268
HARRIS Hotel & Conventions Kelapa Gading Jakarta,"Jl. Boulevard Kelapa Gading Blok M, Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Rp869.616,4,4,Jakarta Utara,-6.156547210148370,106.91030604603200
Wyndham Casablanca Jakarta,"Jl. Csablanca Kav 18, Jakarta, Indonesia",Rp1.037.209,7,7,Jakarta Selatan,-6.223585696461090,106.8398614
HARRIS Vertu Hotel Harmoni,"Jl. Hayam Wuruk No.6, Harmoni, Jakarta, Indonesia",Rp910.860,7,7,Jakarta Pusat,-6.163675856280710,106.82075941534400
Grand Whiz Poins Simatupang Jakarta,"Poins Square Mall & Apartement, Jl. RA. Kartini No.1, Lebak Bulus, Cilandak, Jakarta, Indonesia",Rp568.176,4,4,Jakarta Selatan,-6.288932659478590,106.77759859999900
Discovery Ancol,"Jl. Lodan Timur No.7, Ancol Taman Impian, Jakarta Utara, Indonesia",Rp843.750,16,16,Jakarta Utara,-6.124703357841580,106.83125526137600
JS Luwansa Hotel & Convention Center,"Jl. H.R.Rasuna Said Kav C-22, Jakarta Selatan",Rp2.400.000,3,3,Jakarta Selatan,-6.222256893731770,106.8329595846550
City Icon Residence,"Jl. Raya Mangga Besar No.98, RT.5/RW.10, Karang Anyar, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota",Rp148.949,4,4,Jakarta Pusat,-6.147996469899740,106.8275182
HARRIS Suites FX Sudirman,"Jl.Jendral Sudirman, Pintu satu Senayan , Jakarta",Rp997.200,7,7,Jakarta Pusat,-6.2243372208024900,106.80388493862300
The Sultan Hotel & Residence Jakarta,"Jl. Gatot Subroto, Gelora, Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Rp1.449.126,10,10,Jakarta Pusat,-6.217111884638720,106.80881553862300
Sanctuary Spaces by TwoSpaces,"Jl. Wijaya Kusuma No.2, RT.1/RW.1, Jatipulo, Kec. Palmerah, Jakarta, Daerah Khusus Ibukota Jakarta, Indonesia",Rp255.000,6,6,Jakarta Barat,-6.178540546432430,106.79755826137600
Putri Duyung Ancol,"Jl. Lodan Timur No.7, Ancol, Jakarta, Indonesia",Rp637.245,4,7,Jakarta Utara,-6.120468768323170,106.84184836137600
ARTOTEL Suites Mangkuluhur Jakarta,"Jl. Gatot Subroto Kav. II No.03, RT.1/RW.4, Karet Semanggi, Jakarta, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Rp728.190,7,7,Jakarta Selatan,-6.2209013043931400,106.81496873862300
Merlynn Park Hotel,Jl. K.H. Hasyim Ashari No.29-31,Rp739.600,10,10,Jakarta Pusat,-6.165199892702900,106.81523319259100
Ashley Tang Menteng Jakarta,"Jl. H. Agus Salim No.34, RT.2/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Rp980.979,5,5,Jakarta Pusat,-6.183998358815460,106.82501923809600
Cabin Hotel,"Bursa Otomotif Sunter, Jl. Yos Sudarso No.Kav. 87 - 88, RT.10/RW.11, Sunter Jaya, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Indonesia",Rp303.600,9,12,Jakarta Utara,-6.146834594165780,106.8876875306880
Amaris Hotel Pasar Baru,"Jl Pasar Baru Timur No 20-21, Pasar Baru, Jakarta",Rp355.725,6,6,Jakarta Pusat,-6.159201639200190,106.83652304655800
D'Arcici Hotel Cempaka Putih,"Jl.Letjend Suprapto, No.62, Cempaka Putih, Jakarta Pusat, DKI Jakarta, Indonesia",Rp283.500,3,3,Jakarta Pusat,-6.171750734516230,106.86339290000000
Sentral Cawang Hotel,"Jl. Letjen M.T. Haryono No.9 RT.1/RW.6, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Rp361.764,2,2,Jakarta Timur,-6.246359622160250,106.87270176931100
ARTOTEL Thamrin Jakarta,"Jl. Sunda No. 3, Thamrin, Jakarta Pusat, Jakarta, Indonesia",Rp677.160,3,3,Jakarta Pusat,-6.188332719129340,106.82502619206400
HARRIS Suites Puri Mansion,"Jl. Lingkar Luar Puri Mansion Estate Kembangan, Kembangan Selatan, Cengkareng, Jakarta Barat, DKI Jakarta, Indonesia",Rp556.668,14,14,Jakarta Barat,-6.179487911689960,106.72401002327900
Hotel Royal Kuningan,"Jl. Kuningan Persada Kav 2, Jakarta, Indonesia",Rp579.225,5,6,Jakarta Selatan,-6.2061121023280700,106.82977589259100
Ra Suites Simatupang,"Jl. TB Simatupang No.30 A, Cilandak Barat, Cilandak, Jakarta Selatan, DKI Jakarta, Indonesia",Rp945.000,10,10,Jakarta Selatan,-6.290966704476850,106.7957500693110
Whiz Hotel Cikini Jakarta,"Jl. Cikini Raya No.6, Cikini, Jakarta Pusat, DKI Jakarta 10330, Indonesia",Rp375.360,2,2,Jakarta Pusat,-6.187458661182040,106.83645212327900
Teraskita Hotel Jakarta Managed by Dafam,"Jl. MT. Haryono Kav. 10A, Cawang, Jakarta Timur, Indonesia",Rp469.200,5,5,Jakarta Timur,-6.244813556547240,106.87480263068800
Lumire Hotel & Convention Center,"JL. Senen Raya 135, Monas, Jakarta, Indonesia",Rp737.375,4,4,Jakarta Pusat,-6.175441471359710,106.84045121534400
Park Hotel Cawang - Jakarta,"Jl. D.I. Pandjaitan Kav.5 Cawang, Jakarta Timur, DKI Jakarta, Indonesia",Rp498.000,8,8,Jakarta Timur,-6.243550879587860,106.87565001534400
Ashley Tanah Abang,"Jl. K.H Wahid Hasyim 220, Kebon Kacang, Tanah Abang, Jakarta Pusat, Jakarta, Indonesia",Rp1.037.765,7,7,Jakarta Pusat,-6.1857919584238900,106.81728778465500
Swiss-Belresidences Rasuna Epicentrum,"Komplek Rasuna Epicentrum, Jl. Epicentrum Boulevard Timur, Rasuna Said, Jakarta Selatan, DKI Jakarta, Indonesia",Rp646.200,4,4,Jakarta Selatan,-6.213244456722210,106.83681533068800
Cordela Senen Jakarta,"Jl. Kramat Raya No. 102 Kwitang Senen, Jakarta Pusat, Jakarta, Indonesia",Rp382.500,8,8,Jakarta Pusat,-6.182408924468530,106.84315832275200
D'Paragon Gajah Mada,"Jl. Kejayaan No.24 RT/RW : 006/007 Krukut, Taman Sari Jakarta Barat",Rp248.025,1,3,Jakarta Barat,-6.155223904378330,106.81672872275200
HARRIS Hotel Tebet Jakarta,"Jl.DR.Sahardjo No.191, Tebet, Jakarta Selatan, DKI Jakarta, Indonesia",Rp620.908,4,4,Jakarta Selatan,-6.222062643563140,106.8477583079350
Hotel Des Indes Menteng,"Jl. HOS Cokroaminoto No. 84, Menteng, Jakarta Pusat, DKI Jakarta, Indonesia",Rp478.500,4,4,Jakarta Pusat,-6.197015809463820,106.82835779999900
Hotel Santika Premiere Slipi Jakarta,"Jl. Aipda Ks.Tubun No.7, Slipi, Jakarta, Indonesia",Rp681.120,15,15,Jakarta Barat,-6.19740700004866,106.80218128465500
Ashley Sabang Jakarta,"Jl. H. Agus Salim No. 22AB RT.2/RW.1, Kebon Sirih, Menteng, Jalan Sabang, Jakarta, Indonesia",Rp833.917,13,14,Jakarta Pusat,-6.183383282491340,106.82482236137600
Whiz Prime Hotel Kelapa Gading,"Jl.Boulevard Barat Raya, Jakarta Utara, DKI Jakarta, Indonesia",Rp400.200,2,2,Jakarta Utara,-6.152788940096520,106.892607
Verse Luxe Hotel Wahid Hasyim,"Jl. Wahid Hasyim No. 131, Menteng, Jakarta 10240, Indonesia",Rp500.967,10,10,Jakarta Pusat,-6.186075535926940,106.8214095
Manhattan Hotel Jakarta,"Jl. Prof. Dr. Satrio Kav.19-24 Karet Kuningan,",Rp814.453,5,6,Jakarta Selatan,-6.224402484791740,106.83101719259100
Park 5 Simatupang,"Jl. Intan RSPP No.C5, RW.2, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",Rp647.262,2,2,Jakarta Selatan,-6.295669093628970,106.7992485
All Sedayu Hotel Kelapa Gading,"Mall of Indonesia Lobby 5, Jl.Boulevard Barat, Kelapa Gading, Jakarta Utara",Rp900.000,3,3,Jakarta Utara,-6.149347498298480,106.89262817672000
Hotel Akmani,"JL. KH Wahid Hasyim 91, Thamrin, Menteng, Jakarta Pusat, DKI Jakarta, Indonesia",Rp712.500,3,6,Jakarta Pusat,-6.186397398019010,106.8255618693110
Ayaka Suites,"Jl. Karet Pedurenan No. 45, Setiabudi, Jakarta, Indonesia",Rp523.940,6,6,Jakarta Selatan,-6.2201730154695200,106.82411763068800
POP! Hotel Pasar Baru Jakarta,"Jl. K.H. Samanhudi No.17-19, Pasar Baru, Jakarta, Indonesia",Rp365.166,3,3,Jakarta Pusat,-6.159652052870730,106.8338504
Mega Anggrek Hotel Jakarta Slipi,"Jl. Arjuna Sel. No.4, RT.2/RW.8, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp359.720,4,4,Jakarta Barat,-6.184346087086920,106.7900085
Redtop Hotel & Convention Center,"Jl. Pecenongan No.72, Jakarta Pusat",Rp1.009.714,5,5,Jakarta Pusat,-6.162875489618200,106.82659290793500
Hotel Sanrina Jakarta,"Jl. Mangga Dua Dalam RT.1/RW.2 No. 3 - 4 , Mangga Dua Selatan, Sawah Besar, Jakarta Pusat, DKI Jakarta, Indonesia",Rp193.030,3,3,Jakarta Pusat,-6.137165324908160,106.82632537672000
Amaris Hotel Seasons City,"Seasons City, Jl. Prof. Dr. Latumeten No.33, Jembatan Besi, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp257.890,8,8,Jakarta Barat,-6.153430353365320,106.79668893809600
Maple Hotel Grogol,"Jl. Daan Mogot Dalam Kali Sekertaris No.55, Grogol, Jakarta, Indonesia",Rp391.867,2,2,Jakarta Barat,-6.1649323556406900,106.78270871534400
Oakwood Suites Kuningan Jakarta,"Jl. Setiabudi Utara, Jakarta Selatan, Indonesia",Rp1.770.000,3,3,Jakarta Pusat,-6.206323037489410,106.82763300740800
Ashley Wahid Hasyim Jakarta,"Jl. K.H. Wahid Hasyim, Thamrin, Jakarta, Indonesia",Rp792.473,5,5,Jakarta Pusat,-6.186451698126400,106.827085
Tamansari Agung Residence,"Jl. Keamanan No. 52 Keagungan, Tamansari, Glodok, Jakarta Barat, DKI Jakarta, Indonesia",Rp108.580,1,1,Jakarta Barat,-6.150451373149830,106.81559806878500
Mahakam24 Residence,"Jl. Mahakam 1 No 11 Rt1RW6 Kramat Pela, Kebayoran Baru, Jakarta Selatan",Rp259.250,2,2,Jakarta Selatan,-6.242911799309050,106.79594498466000
Liberta Hotel Kemang,"Jl. Kemang I No.6, Jakarta Selatan, Kemang, Mampang, Jakarta, Indonesia",Rp445.696,3,3,Jakarta Selatan,-6.255640912427480,106.81246258465500
N2 Hotel Gunung Sahari,"Jl. Gunung Sahari Raya No.83, Gunung Sahari, Kemayoran, Jakarta, Indonesia",Rp192.419,2,2,Jakarta Pusat,-6.166754419082390,106.83992058269600
Amaris Hotel Panglima Polim 2,"Jl.Panglima Polim Raya No.91, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Rp326.535,8,11,Jakarta Selatan,-6.2514032675602200,106.79764391534400
Fieris Hotel,"Jl. Perserikatan No.11, RT.16/RW.6, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Rp529.644,2,2,Jakarta Timur,-6.197429422542070,106.8901143539670
Hotel Rivoli Senen Jakarta,"Jl. Kramat Raya No. 41, Jakarta 10450, Indonesia",Rp362.440,8,8,Jakarta Pusat,-6.183067953917630,106.84428709999900
Verse Lite Hotel Gajah Mada,"Jl. Pembangunan I No. 22 - 24, Jakarta Pusat, Indonesia",Rp341.720,4,4,Jakarta Pusat,-6.160726456556110,106.81716257672000
Grand Tjokro Jakarta,"Jl. Daan Mogot No.63, Tanjung Duren Utara, Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Rp444.889,3,3,Jakarta Barat,-6.164587287859910,106.7816835846550
De Green Residence,"Jl. Keamanan Raya No. 16, Taman Sari, Jakarta Barat, Indonesia",Rp144.875,1,4,Jakarta Barat,-6.1501581948209200,106.81643127672000
Liberta Hub Blok M Jakarta,"Jl. Sultan Hasanudin No.30, Melawai, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Rp362.918,3,3,Jakarta Selatan,-6.241935430037630,106.8020068693110
Hotel Bulevar Tanjung Duren,"Jl. Tanjung Duren Raya Kav 1, Jakarta Barat, Indonesia",Rp236.730,5,5,Jakarta Barat,-6.1731454703811500,106.78686485396700
RedDoorz Plus near Blok M Square,"Jl. Sultan Hasanudin No. 43, Kec. Kebayoran Baru, Kota Jakarta Selatan, DKI Jakarta, Indonesia",Rp262.392,4,4,Jakarta Selatan,-6.241791688891280,106.80219109998600
Sans Hotel Puri Indah Jakarta,"Jl. Kembangan Raya No. 2 RT.009 RW.001 Kel. Kembangan Utara Kec. Kembangan, Jakarta Barat",Rp416.100,4,4,Jakarta Barat,-6.183590254781500,106.73408930740800
d'primahotel Melawai,"Jl. Melawai IX No.2 Blok M/3 Persil 72, Melawai, Jakarta, Indonesia",Rp367.540,1,1,Jakarta Selatan,-6.2446564775586200,106.79914376137600
Amaris Hotel Juanda,"Jl.Ir.H.Juanda No.3,Jakarta Pusat",Rp426.701,4,4,Jakarta Pusat,-6.166653327670400,106.82985708465500
Ra Premiere Simatupang,"Jl. Intan No.25 1 2, RT.1/RW.2, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",Rp752.400,6,6,Jakarta Selatan,-6.293282361246040,106.80232934603200
Sunlake Waterfront Resort & Convention,"Jl. Danau Permai Blok C1, Sunter, Jakarta Utara, Indonesia",Rp602.020,10,10,Jakarta Utara,-6.145931267166570,106.87943481534400
OYO Townhouse 2 Hotel Gunung Sahari Near RsHermina Kemayoran,"Jl. Gunung Sahari Raya No.33, Gunung Sahari Utara, Sawah Besar, Jakarta Pusat, DKI Jakarta, Indonesia",Rp197.942,3,3,Jakarta Pusat,-6.154459499191290,106.83710814603200
LeGreen Suite Penjernihan,"Jl. Penjernihan II No.5, Bendungan Hilir - Jakarta Pusat, Indonesia",Rp365.708,4,4,Jakarta Pusat,-6.2042390611670100,106.8095514920640
Posto Dormire,"Jl. Dr Susilo Raya No.03, Grogol Petamburan, Grogol Petamburan, Tomang, Jakarta, Indonesia",Rp487.200,1,1,Jakarta Barat,-6.165309529532490,106.79662024603200
Hotel 55 International,"Jl. Pangeran Jayakarta No.8, Komplek Artha Center Blok E No.1, Pinangsia, Tamansari, Jakarta Barat, DKI Jakarta, Indonesia",Rp154.560,4,4,Jakarta Pusat,-6.140763110979930,106.8224461116120
Prasada Mansion Sudirman,"Jl. Komando Raya No.6, Kuningan, Karet Kuningan, Setiabudi, Jakarta Selatan, Jakarta, Indonesia",Rp310.000,3,3,Jakarta Selatan,-6.212657466208590,106.82196601534400
Coin's Hotel Jakarta,"Jl. Sunter Agung Utara Raya Blok A No 5B, Jakarta Utara, Indonesia",Rp333.332,7,7,Jakarta Utara,-6.137770325659150,106.86297160000000
Liberty Hotel Thamrin Jakarta,"Jl. Sungai Gerong No. 2, Thamrin, Tanah Abang, Jakarta, Indonesia",Rp727.726,4,4,Jakarta Pusat,-6.198973387246120,106.8221669693110
The Gloria Suites Grogol Jakarta,"Jl. Kyai Tapa No.215, Grogol, Jakarta Barat",Rp331.809,3,3,Jakarta Barat,-6.165673724118650,106.79495993862300
Kimaya Slipi Jakarta by Harris,"Jl. Letjen S. Parman Kav. 59, Slipi, Palmerah, Jakarta Barat, Jakarta, Indonesia",Rp740.000,2,2,Jakarta Barat,-6.1986018083930300,106.79963278412900
Batavia Apartment  Hotel & Serviced Residence,"Jl. KH. Mas Mansyur Kav 126, Jakarta, Indonesia",Rp688.860,1,2,Jakarta Pusat,-6.210463699327740,106.81260512327900
Nostoi,"Jl. Karet Belakang Barat No. 4, Kuningan, Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Rp529.564,14,15,Jakarta Selatan,-6.214681884819860,106.82532144655800
Eightin Hotel Sudirman Jakarta,"Jl. Bendungan Jatiluhur No. 25, Tanah Abang, Bendungan Hilir, Jakarta, Indonesia",Rp466.650,4,4,Jakarta Pusat,-6.214689211015790,106.81314816137600
favehotel Tanah Abang - Cideng,"Jl. Cideng Timur No.58, Petojo Selatan, Jakarta, Indonesia",Rp321.167,1,1,Jakarta Pusat,-6.172780769837710,106.81170273862300
OYO 101 Apple Platinum Near RS BUDI KEMULIAAN,"Jl. Kampung Bali X No.17A, Tanah Abang, Jakarta, Indonesia",Rp285.399,4,4,Jakarta Pusat,-6.17978018259065,106.8182917
Altona Hotel,"Jl. Raya Mangga Besar No.94, RW.10, Karang Anyar, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta , Mangga Besar, Taman Sari, Jakarta, Indonesia",Rp327.393,3,3,Jakarta Pusat,-6.147536947543370,106.82706725396700
Hotel 88 Mangga Besar 62 Lokasari,"Mangga Besar Raya No 62, Mangga Besar",Rp330.150,4,4,Jakarta Barat,-6.148816144599840,106.82401110740800
De Green Inn Kebon Jeruk,"Belmont Residence Kebon Jeruk, Tower Everest Lt.3 #K3-01, Jl. Lapangan Bola Meruya Ilir , Kembangan, Srengseng, Jakarta, Indonesia",Rp237.044,1,1,Jakarta Barat,-6.201389020118620,106.7634692693110
Horison Suite & Residences Rasuna Jakarta,"Apartemen Taman Rasuna Tower A, Jl. H. R. Rasuna Said, Menteng Atas, Kecamatan Setiabudi, Daerah Khusus Ibukota Jakarta",Rp638.400,9,9,Jakarta Selatan,-6.218845964218440,106.83682421534400
Sans Hotel Roxy Jakarta,"Jl. Biak No. 40 RT.2/RW.6, Cideng, Kecamatan Gambir, Jakarta Pusat, DKI Jakarta",Rp207.000,4,7,Jakarta Pusat,-6.167428994973990,106.80869179206400
Grand Dafam Ancol Jakarta,"Marina Mediterania, Tower A Jl. Lodan Raya No. 2A, Ancol, Pademangan, Jakarta Utara, Indonesia",Rp675.990,8,8,Jakarta Utara,-6.128417494222340,106.82921085396700
LYNT Hotel Jakarta,"Jl. Cideng Timur No. 35 RT 006 RW 006, Petojo Utara, Gambir, Jakarta Pusat, Jakarta, Indonesia",Rp446.400,3,3,Jakarta Pusat,-6.167566326041230,106.81101485396700
OYO 297 45 Residence Near RS Husada,"TJl. Mangga Besar XI, RW.1, Kota Tua, Tangki, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11170, Indonesia, Jakarta",Rp203.775,2,2,Jakarta Barat,-6.146181010581370,106.8257825
La Boheme Rooms and Coffee,"Jl. Setia Budi Barat No. 18, RT 08 / RW 04, Kuningan, Setiabudi, Jakarta Selatan, Jakarta, Indonesia",Rp579.600,4,4,Jakarta Selatan,-6.205881327936780,106.82428197724700
Whiz Hotel Falatehan Jakarta,"Jl. Falatehan I No. 40, Blok M, Melawai Kebayoran Baru, Jakarta Selatan, Indonesia",Rp304.000,4,6,Jakarta Selatan,-6.24176589059064,106.80158325396700
Hotel Menara Peninsula,"Jl. Letjen S. Parman No.Kav. 78, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp750.000,9,9,Jakarta Barat,-6.189087729021690,106.79742767724700
Mercure Convention Center Ancol,Jl. Pantai Indah,Rp900.221,8,8,Jakarta Utara,-6.121161840264680,106.83635882327900
W Home Benhil,Jl. Bend. Jatiluhur No.60,Rp382.830,4,4,Jakarta Pusat,-6.212713276613050,106.81163686137600
Hotel Golden Sky Pluit,"Jl. Taman Pluit Kencana No. 48, Pluit, Penjaringan, Jakarta Utara, Indonesia",Rp459.000,2,4,Jakarta Utara,-6.119793767002460,106.78920882327900
Goodrich Suites by ARTOTEL,"Jl. Pangeran Antasari No.60, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",Rp1.187.500,3,3,Jakarta Selatan,-6.263478610494560,106.80913715344100
D'Paragon Menteng Jakarta,"Jl. Bonang No.1, RW.5, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320",Rp250.000,1,2,Jakarta Pusat,-6.203779824278730,106.84606006931100
Amaris Hotel Slipi,"Jl . Let. Jend. S. Parman Raya Kav. 92 A, Tanah Abang, Slipi, Palmerah, Jakarta Barat, DKI Jakarta, Indonesia",Rp394.800,8,8,Jakarta Barat,-6.182664853250960,106.79745
Best Western Plus Kemayoran Hotel,"Jl.Benyamin Suaeb Blok A5, Kemayoran, Jakarta Pusat",Rp774.000,4,4,Jakarta Pusat,-6.160353424186520,106.85310221254000
Hotel Maxim,"Jl. Kwitang Raya No. 11 , Kwitang, Senen, Jakarta, Indonesia",Rp212.500,2,2,Jakarta Pusat,-6.180217632400740,106.84061763952400
Collection O 91409 Hotel Fiducia Otista 153 - 157,"Jalan Otto Iskandardinata No.153, Bidara Cina, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia 13330 Jakarta DKI Jakarta",Rp194.548,5,5,Jakarta Timur,-6.238984485550240,106.86952336650900
Collection O 16 Vittoria Residence Near RS Mentari,"Apartemen Vittoria Residence Jl. Daan Mogot No.Km. 13.8 9 3, RT.9/RW.3, Cengkareng Timur, Kecamatan Cengkareng, Kota Jakarta Barat, DKI Jakarta, Indonesia",Rp306.504,2,2,Jakarta Barat,-6.157000889651720,106.73611164137600
Jambuluwuk Thamrin Hotel,"Jl. Riau No. 5-7, Thamrin, Jakarta Pusat, Jakarta, DKI Jakarta, Indonesia",Rp758.092,5,5,Jakarta Pusat,-6.190689307488350,106.8244309971970
Oria Hotel Jakarta,"Jl. Wahid Hasyim No.85, Jakarta Pusat",Rp518.500,4,4,Jakarta Pusat,-6.187067075599620,106.82624479719700
Home 899 Patal Senayan,"Jl. Patal Senayan No. 2 Rt.001/007, Kebayoran Lama, Grogol Utara, Jakarta, Indonesia",Rp440.000,1,1,Jakarta Selatan,-6.218880687361700,106.79409139719700
OYO Flagship 210 Amethyst Kemayoran Near RSUD Pademangan,"Jl. Rajawali Selatan 2 No.1B, Kemayoran, RT.16/RW.2, Gn. Sahari Utara, Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp133.337,5,5,Jakarta Pusat,-6.144268849896750,106.83891008185200
OYO 2628 Kartini Residence,"4, Jl. Pos Utara II No.3D, RW.1, Pasar Baru, Sawah Besar, Jakarta Pusat, Jakarta 10710",Rp78.022,4,4,Jakarta Pusat,-6.163828658493860,106.83331549719600
Oak Tree Urban Hotel Jakarta,"Jl. Sampit V No.3, Jakarta Selatan",Rp412.445,2,2,Jakarta Selatan,-6.244987005650230,106.79581811254100
Hotel Dafam Enkadeli Thamrin,"Jl. Sunda No.8, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, DKI Jakarta, Indonesia",Rp717.550,6,6,Jakarta Pusat,-6.188530634512500,106.82439535301600
N Hotel Harmoni,"Jl. Majapahit No.12, Petojo Selatan, Gambir, Jakarta, Indonesia",Rp179.655,4,4,Jakarta Pusat,-6.168380061312380,106.82087181254100
d'primahotel ITC Mangga Dua,"Jl. Pangeran Jayakarta No.73 Blok E-01, Mangga Dua, Jakarta, Indonesia",Rp382.500,1,1,Jakarta Pusat,-6.13846484917526,106.82238556836000
Urbanview Hotel Cengkareng Jakarta,"Apartemen Palm Mansion, RT.2/RW.3, Pegadungan, Kec. Kalideres, Jakarta Barat, DKI Jakarta",Rp224.437,2,2,Jakarta Barat,-6.132104374532360,106.70591704137600
Bold Hotel Jakarta,"Jl. Mangga Besar 8 No. 9B-9C, Jakarta Barat, Indonesia",Rp205.200,2,5,Jakarta Barat,-6.149703052399030,106.82583451254000
Hotel Maven Fatmawati,"Jl Raya Fatmawati No 2, Jakarta",Rp444.000,6,6,Jakarta Selatan,-6.265877965376400,106.79759245301700
Kyriad Hotel Fatmawati Jakarta,"Jl. RS Fatmawati No. 1-21, Cipete Utara, Kebayoran Baru, Jakarta, Indonesia",Rp497.250,2,2,Jakarta Selatan,-6.260270144381830,106.79735315672100
UROOMS Tanah Abang,Jl KH Mas Mansyur No 51,Rp192.923,1,1,Jakarta Pusat,-6.195722202997120,106.81455306650800
1O1 URBAN Jakarta Kelapa Gading,"Boulevard Bukit Gading Raya, Kelapa Gading, Jakarta",Rp417.050,2,5,Jakarta Utara,-6.157374123683470,106.89450398185200
Casa Living Setiabudi,"Jl. Setia Budi VIII, Gg. IV No.20, Kec. Setia Budi, RT.2/RW.3, Kuningan, Setia Budi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",Rp350.000,2,2,Jakarta Selatan,-6.2069906767217600,106.82610335301700
Moritz Hotel RSAB Harapan Kita,Komp RS Harapan Kita Jl. S. Parman Kav 89 Slipi Jakarta Barat,Rp545.405,2,2,Jakarta Barat,-6.184249134753880,106.79972983952500
OYO 3735 Liv Hotel,"Jl. RE. Martadinata No.12 M, Ancol, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14430",Rp134.659,3,3,Jakarta Utara,-6.131029978739680,106.82778325486800
